D,d,alpha,z,width,case,observable,mu_c,mu_convention,coeff_O_delta2_epsilon2,visible_baseline_coeff,ratio_to_visible_baseline,turning_point_u_star,width_regime,zero_mode_status,response_status,source_rule,method_status,portal_profile,notes
3,1,0.0,2.0,0.1,II_aDM_0p8,DeltaS_int_O_delta2_epsilon2,12.79379359574271,b0(infinity)=mu; analytic-locus anchor mu=4,6.284300723148583e-05,7.481310384700695e-05,0.8399999999999999,20.0,SMALL_WIDTH_CONTROLLED,CONVERGED,CONVERGED,STRICT_MINIMAL_HIDDEN_SU2_MUX0,FINAL_STRICT_EOM_RT,,
3,1,0.0,2.0,0.1,II_aDM_1p2,DeltaS_int_O_delta2_epsilon2,12.79379359574271,b0(infinity)=mu; analytic-locus anchor mu=4,4.788038646208445e-05,7.481310384700695e-05,0.64,20.0,SMALL_WIDTH_CONTROLLED,CONVERGED,CONVERGED,STRICT_MINIMAL_HIDDEN_SU2_MUX0,FINAL_STRICT_EOM_RT,,
3,1,0.0,2.0,0.1,II-b_aDM_0p4_muX_0p5,DeltaS_int_O_delta2_epsilon2,12.79379359574271,b0(infinity)=mu; analytic-locus anchor mu=4,7.256871073159675e-05,7.481310384700695e-05,0.97,20.0,SMALL_WIDTH_CONTROLLED,CONVERGED,CONVERGED,LOCKED_PROFILE_MUX_PRESCRIPTION,FINAL_WITH_EXPLICIT_PRESCRIPTION,,mu_X nonzero row uses the stated locked-profile source prescription; not a full independent hidden-profile solve.
3,1,0.0,2.0,0.1,III-a_Phi_0p2,DeltaS_int_O_delta2_epsilon2,12.79379359574271,b0(infinity)=mu; analytic-locus anchor mu=4,7.481310384700695e-05,7.481310384700695e-05,1.0,20.0,SMALL_WIDTH_CONTROLLED,CONVERGED,CONVERGED,STRICT_LEADING_ORDER_ISOTROPIC_NULL,FINAL_STRICT_EOM_RT,,"At leading O(delta^2 epsilon^2), an epsilon-independent homogeneous isotropic dark source does not alter this anisotropy-induced coefficient."
3,1,0.0,2.0,0.1,III-a_Phi_0p4,DeltaS_int_O_delta2_epsilon2,12.79379359574271,b0(infinity)=mu; analytic-locus anchor mu=4,7.481310384700695e-05,7.481310384700695e-05,1.0,20.0,SMALL_WIDTH_CONTROLLED,CONVERGED,CONVERGED,STRICT_LEADING_ORDER_ISOTROPIC_NULL,FINAL_STRICT_EOM_RT,,"At leading O(delta^2 epsilon^2), an epsilon-independent homogeneous isotropic dark source does not alter this anisotropy-induced coefficient."
3,1,0.0,2.0,0.1,III-b_Phi_0p2_l1,DeltaS_int_O_delta2_epsilon2,12.79379359574271,b0(infinity)=mu; analytic-locus anchor mu=4,7.482789331877217e-05,7.481310384700695e-05,1.000197685579193,20.0,SMALL_WIDTH_CONTROLLED,CONVERGED,CONVERGED,Z_WEIGHTED_RESPONSE_PRESCRIPTION,FINAL_WITH_EXPLICIT_PRESCRIPTION,"Phi(u)=0.2/(1+u^2)^2, Z=exp(Phi^2)",Tensor row recomputes the metric response with a radial Z-weighted YM stress while holding the onset profile fixed; model prescription explicitly recorded.
3,1,0.0,2.0,0.1,III-b_Phi_0p4_l1,DeltaS_int_O_delta2_epsilon2,12.79379359574271,b0(infinity)=mu; analytic-locus anchor mu=4,7.487237556519129e-05,7.481310384700695e-05,1.0007922638566842,20.0,SMALL_WIDTH_CONTROLLED,CONVERGED,CONVERGED,Z_WEIGHTED_RESPONSE_PRESCRIPTION,FINAL_WITH_EXPLICIT_PRESCRIPTION,"Phi(u)=0.4/(1+u^2)^2, Z=exp(Phi^2)",Tensor row recomputes the metric response with a radial Z-weighted YM stress while holding the onset profile fixed; model prescription explicitly recorded.
3,1,0.0,2.5,0.1,baseline,DeltaS_int_O_delta2_epsilon2,14.934525239853269,b0(infinity)=mu; analytic-locus anchor mu=4,1.9034296539974462e-05,1.9034296539974462e-05,1.0,20.0,SMALL_WIDTH_CONTROLLED,CONVERGED,CONVERGED,STRICT_VISIBLE_EOM,FINAL_STRICT_EOM_RT,,
3,1,0.0,2.5,0.1,I_temporal_U1_qX_0p5,DeltaS_int_O_delta2_epsilon2,14.934525239853269,b0(infinity)=mu; analytic-locus anchor mu=4,1.9034296539974462e-05,1.9034296539974462e-05,1.0,20.0,SMALL_WIDTH_CONTROLLED,CONVERGED,CONVERGED,STRICT_LEADING_ORDER_ISOTROPIC_NULL,FINAL_STRICT_EOM_RT,,"At leading O(delta^2 epsilon^2), an epsilon-independent homogeneous isotropic dark source does not alter this anisotropy-induced coefficient."
3,1,0.0,2.5,0.1,II_aDM_0p4,DeltaS_int_O_delta2_epsilon2,14.934525239853269,b0(infinity)=mu; analytic-locus anchor mu=4,1.8272924678375482e-05,1.9034296539974462e-05,0.96,20.0,SMALL_WIDTH_CONTROLLED,CONVERGED,CONVERGED,STRICT_MINIMAL_HIDDEN_SU2_MUX0,FINAL_STRICT_EOM_RT,,
3,1,0.0,2.5,0.1,II_aDM_0p8,DeltaS_int_O_delta2_epsilon2,14.934525239853269,b0(infinity)=mu; analytic-locus anchor mu=4,1.5988809093578546e-05,1.9034296539974462e-05,0.84,20.0,SMALL_WIDTH_CONTROLLED,CONVERGED,CONVERGED,STRICT_MINIMAL_HIDDEN_SU2_MUX0,FINAL_STRICT_EOM_RT,,
3,1,0.0,2.5,0.1,II_aDM_1p2,DeltaS_int_O_delta2_epsilon2,14.934525239853269,b0(infinity)=mu; analytic-locus anchor mu=4,1.2181949785583656e-05,1.9034296539974462e-05,0.64,20.0,SMALL_WIDTH_CONTROLLED,CONVERGED,CONVERGED,STRICT_MINIMAL_HIDDEN_SU2_MUX0,FINAL_STRICT_EOM_RT,,
3,1,0.0,2.5,0.1,II-b_aDM_0p4_muX_0p5,DeltaS_int_O_delta2_epsilon2,14.934525239853269,b0(infinity)=mu; analytic-locus anchor mu=4,1.8463267643775228e-05,1.9034296539974462e-05,0.97,20.0,SMALL_WIDTH_CONTROLLED,CONVERGED,CONVERGED,LOCKED_PROFILE_MUX_PRESCRIPTION,FINAL_WITH_EXPLICIT_PRESCRIPTION,,mu_X nonzero row uses the stated locked-profile source prescription; not a full independent hidden-profile solve.
3,1,0.0,2.5,0.1,III-a_Phi_0p2,DeltaS_int_O_delta2_epsilon2,14.934525239853269,b0(infinity)=mu; analytic-locus anchor mu=4,1.9034296539974462e-05,1.9034296539974462e-05,1.0,20.0,SMALL_WIDTH_CONTROLLED,CONVERGED,CONVERGED,STRICT_LEADING_ORDER_ISOTROPIC_NULL,FINAL_STRICT_EOM_RT,,"At leading O(delta^2 epsilon^2), an epsilon-independent homogeneous isotropic dark source does not alter this anisotropy-induced coefficient."
3,1,0.0,2.5,0.1,III-a_Phi_0p4,DeltaS_int_O_delta2_epsilon2,14.934525239853269,b0(infinity)=mu; analytic-locus anchor mu=4,1.9034296539974462e-05,1.9034296539974462e-05,1.0,20.0,SMALL_WIDTH_CONTROLLED,CONVERGED,CONVERGED,STRICT_LEADING_ORDER_ISOTROPIC_NULL,FINAL_STRICT_EOM_RT,,"At leading O(delta^2 epsilon^2), an epsilon-independent homogeneous isotropic dark source does not alter this anisotropy-induced coefficient."
3,1,0.0,2.5,0.1,III-b_Phi_0p2_l1,DeltaS_int_O_delta2_epsilon2,14.934525239853269,b0(infinity)=mu; analytic-locus anchor mu=4,1.9040404910395876e-05,1.9034296539974462e-05,1.0003209139044664,20.0,SMALL_WIDTH_CONTROLLED,CONVERGED,CONVERGED,Z_WEIGHTED_RESPONSE_PRESCRIPTION,FINAL_WITH_EXPLICIT_PRESCRIPTION,"Phi(u)=0.2/(1+u^2)^2, Z=exp(Phi^2)",Tensor row recomputes the metric response with a radial Z-weighted YM stress while holding the onset profile fixed; model prescription explicitly recorded.
3,1,0.0,2.5,0.1,III-b_Phi_0p4_l1,DeltaS_int_O_delta2_epsilon2,14.934525239853269,b0(infinity)=mu; analytic-locus anchor mu=4,1.9058774825288287e-05,1.9034296539974462e-05,1.0012860094546923,20.0,SMALL_WIDTH_CONTROLLED,CONVERGED,CONVERGED,Z_WEIGHTED_RESPONSE_PRESCRIPTION,FINAL_WITH_EXPLICIT_PRESCRIPTION,"Phi(u)=0.4/(1+u^2)^2, Z=exp(Phi^2)",Tensor row recomputes the metric response with a radial Z-weighted YM stress while holding the onset profile fixed; model prescription explicitly recorded.
3,1,0.0,3.0,0.1,baseline,DeltaS_int_O_delta2_epsilon2,17.12809984132014,b0(infinity)=mu; analytic-locus anchor mu=4,4.761959692100161e-06,4.761959692100161e-06,1.0,20.0,SMALL_WIDTH_CONTROLLED,CONVERGED,CONVERGED,STRICT_VISIBLE_EOM,FINAL_STRICT_EOM_RT,,
3,1,0.0,3.0,0.1,I_temporal_U1_qX_0p5,DeltaS_int_O_delta2_epsilon2,17.12809984132014,b0(infinity)=mu; analytic-locus anchor mu=4,4.761959692100161e-06,4.761959692100161e-06,1.0,20.0,SMALL_WIDTH_CONTROLLED,CONVERGED,CONVERGED,STRICT_LEADING_ORDER_ISOTROPIC_NULL,FINAL_STRICT_EOM_RT,,"At leading O(delta^2 epsilon^2), an epsilon-independent homogeneous isotropic dark source does not alter this anisotropy-induced coefficient."
3,1,0.0,3.0,0.1,II_aDM_0p4,DeltaS_int_O_delta2_epsilon2,17.12809984132014,b0(infinity)=mu; analytic-locus anchor mu=4,4.571481304416154e-06,4.761959692100161e-06,0.96,20.0,SMALL_WIDTH_CONTROLLED,CONVERGED,CONVERGED,STRICT_MINIMAL_HIDDEN_SU2_MUX0,FINAL_STRICT_EOM_RT,,
3,1,0.0,3.0,0.1,II_aDM_0p8,DeltaS_int_O_delta2_epsilon2,17.12809984132014,b0(infinity)=mu; analytic-locus anchor mu=4,4.0000461413641355e-06,4.761959692100161e-06,0.8400000000000001,20.0,SMALL_WIDTH_CONTROLLED,CONVERGED,CONVERGED,STRICT_MINIMAL_HIDDEN_SU2_MUX0,FINAL_STRICT_EOM_RT,,
3,1,0.0,3.0,0.1,II_aDM_1p2,DeltaS_int_O_delta2_epsilon2,17.12809984132014,b0(infinity)=mu; analytic-locus anchor mu=4,3.047654202944103e-06,4.761959692100161e-06,0.64,20.0,SMALL_WIDTH_CONTROLLED,CONVERGED,CONVERGED,STRICT_MINIMAL_HIDDEN_SU2_MUX0,FINAL_STRICT_EOM_RT,,
